seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V004,235,switch,1,1,49,51,234,1,0.90398295,-5.05000000,-0.10000000,5.05099000,0.90398295,0.93084575,0.39391501,35.93344542,1.00679629,
V004,235,switch,8,8,51,49,234,1,0.65026785,12.80000000,7.00000000,14.58903698,0.65026785,0.66937263,0.39391501,35.93344542,1.21236889,
V004,236,reuse,8,1,49,0,235,1,0.93084575,3.55000000,-0.70000000,3.61835598,0.93084575,0.93971244,,,0.95881495,
V004,236,reuse,1,8,51,0,235,1,0.66937263,14.35000000,-2.55000000,14.57480703,0.66937263,0.85900758,,,0.93513275,
V004,386,switch,6,6,58,54,,,,,,,,0.84640362,,,,no_last_seen|no_prev|no_old
V005,55,switch,3,3,67,63,,,,,,,,0.42175800,,,,no_last_seen|no_prev|no_old
V005,79,switch,5,5,67,65,78,1,0.53598103,7.20000000,11.15000000,13.27262220,0.53598103,0.76763670,,,1.15414558,no_old
V005,80,switch,3,3,72,67,,,,,,,,0.97243860,0.31349226,20.47950195,,no_last_seen|no_prev
V005,80,reuse,3,5,67,0,79,1,0.76763670,3.20000000,4.80000000,5.76888204,0.76763670,0.93478558,,,1.07655987,
V005,185,switch,9,9,73,69,,,,,,,,0.59204607,,,,no_last_seen|no_prev|no_old
V005,249,switch,3,3,67,72,248,1,0.76955251,4.75000000,-3.75000000,6.05185922,0.76955251,0.78100383,0.39960892,21.06015195,0.88849616,
V005,249,switch,5,5,72,67,248,1,0.90491548,1.35000000,0.80000000,1.56923548,0.90491548,0.91182815,0.39960892,21.06015195,0.96184956,
V005,250,reuse,5,3,67,0,249,1,0.78100383,5.00000000,0.20000000,5.00399840,0.78100383,0.82527775,,,1.05529924,
V005,250,reuse,3,5,72,0,249,1,0.91182815,1.30000000,0.95000000,1.61012422,0.91182815,0.86121992,,,1.01236061,
V005,261,switch,7,7,74,66,,,,,,,,0.78822668,,,,no_last_seen|no_prev|no_old
V006,28,switch,11,11,98,86,,,,,,,,0.44508704,,,,no_last_seen|no_prev|no_old
V006,51,switch,2,2,99,80,,,,,,,,0.80503845,,,,no_last_seen|no_prev|no_old
V006,194,switch,7,7,101,77,193,1,0.74786635,4.10000000,2.10000000,4.60651712,0.74786635,0.73554333,,,1.05017527,no_old
V006,205,switch,6,6,102,75,,,,,,,,0.67467905,,,,no_last_seen|no_prev|no_old
V007,102,switch,3,3,108,110,101,1,0.89428198,2.15000000,1.80000000,2.80401498,0.89428198,0.95322269,0.42445092,24.46083604,0.99147909,
V007,102,switch,4,4,110,108,101,1,0.91393230,-0.35000000,3.10000000,3.11969550,0.91393230,0.92962194,0.42445092,24.46083604,1.07608074,
V007,103,reuse,4,3,108,0,102,1,0.95322269,-0.60000000,1.45000000,1.56923548,0.95322269,0.82903893,,,1.01189205,
V007,103,reuse,3,4,110,0,102,1,0.92962194,-0.50000000,2.90000000,2.94278779,0.92962194,0.86785763,,,1.06116016,
V007,532,switch,7,7,106,109,531,1,0.92610579,-1.05000000,0.65000000,1.23490890,0.92610579,0.90132515,0.48686964,21.27304633,0.95901749,
V007,532,switch,9,9,109,106,531,1,0.82675355,4.60000000,-2.35000000,5.16551062,0.82675355,0.82936913,0.48686964,21.27304633,0.99726101,
V007,533,reuse,9,7,106,0,532,1,0.90132515,-2.10000000,-0.80000000,2.24722051,0.90132515,0.96945179,,,1.01485860,
V007,533,reuse,7,9,109,0,532,1,0.82936913,4.60000000,1.30000000,4.78016736,0.82936913,0.84332110,,,0.93730773,
V008,134,switch,5,5,124,123,133,1,0.72469798,-8.70000000,2.85000000,9.15491671,0.72469798,0.83237152,,,1.06026631,no_old
V008,135,reuse,4,5,124,0,134,1,0.83237152,-5.00000000,1.75000000,5.29740503,0.83237152,0.86174600,,,1.03117717,
V008,136,switch,5,5,123,124,132,4,0.14779467,-27.75000000,4.65000000,28.13689748,,0.73437518,0.53711459,10.69684533,0.94195972,no_prev
V008,136,reuse,5,4,124,0,135,1,0.86174600,-4.05000000,0.60000000,4.09420322,0.86174600,0.84321487,,,0.95262158,
V009,212,switch,0,0,148,135,,,,,,,,0.84926982,,,,no_last_seen|no_prev|no_old
V009,215,switch,1,1,149,131,,,,,,,,0.92616589,,,,no_last_seen|no_prev|no_old
V009,289,switch,9,9,150,144,,,,,,,,0.73108339,,,,no_last_seen|no_prev|no_old
V009,305,switch,17,17,151,146,,,,,,,,0.78148084,,,,no_last_seen|no_prev|no_old
V009,314,switch,8,8,152,147,,,,,,,,0.86503453,,,,no_last_seen|no_prev|no_old
V009,318,switch,7,7,154,145,,,,,,,,0.61274053,,,,no_last_seen|no_prev|no_old
V009,484,switch,7,7,158,154,483,1,0.77260946,-2.35000000,-2.90000000,3.73262642,0.77260946,0.40161280,,,1.09887193,no_old
V009,486,switch,15,15,158,141,485,1,0.49280596,-9.80000000,0.45000000,9.81032619,0.49280596,0.51750802,,,0.97780284,no_old
V009,487,switch,3,3,160,138,,,,,,,,0.66488194,,,,no_last_seen|no_prev|no_old
V009,487,reuse,7,15,158,0,486,1,0.51750802,-8.20000000,1.75000000,8.38465861,0.51750802,0.47678927,,,0.86710259,
V009,491,switch,7,7,165,158,,,,,,,,0.41070959,0.09097510,21.26146749,,no_last_seen|no_prev
V009,672,switch,7,7,167,165,,,,,,,,0.59316754,,,,no_last_seen|no_prev|no_old
V009,712,switch,19,19,168,155,,,,,,,,0.87310994,,,,no_last_seen|no_prev|no_old
V010,74,switch,4,4,181,171,73,1,0.69778409,2.10000000,4.95000000,5.37703450,0.69778409,0.62919854,,,1.15262955,no_old
V010,78,switch,3,3,182,169,,,,,,,,0.74197109,,,,no_last_seen|no_prev|no_old
V010,89,switch,2,2,183,172,,,,,,,,0.85097492,,,,no_last_seen|no_prev|no_old
V010,142,switch,11,11,184,180,,,,,,,,0.51766903,,,,no_last_seen|no_prev|no_old
V010,196,switch,2,2,186,183,,,,,,,,0.51948736,,,,no_last_seen|no_prev|no_old
V010,235,reuse,16,19,252,0,231,4,0.41607565,-4.95000000,-18.35000000,19.00592013,,0.35926772,,,1.11550033,no_prev
V010,236,switch,16,16,272,252,,,,,,,,0.40610325,0.00000000,104.09367176,,no_last_seen|no_prev
V010,237,switch,1,1,276,177,,,,,,,,0.33787884,,,,no_last_seen|no_prev|no_old
V010,238,switch,19,19,279,252,,,,,,,,0.44569303,,,,no_last_seen|no_prev|no_old
V010,242,switch,0,0,285,178,,,,,,,,0.39336916,,,,no_last_seen|no_prev|no_old
V010,280,switch,18,18,286,270,,,,,,,,0.85705224,,,,no_last_seen|no_prev|no_old
V010,287,switch,17,17,286,281,286,1,0.95346369,-0.60000000,-0.30000000,0.67082039,0.95346369,0.81937164,,,1.01720548,no_old
V010,287,switch,18,18,287,286,,,,,,,,0.70233720,0.46837353,9.76281209,,no_last_seen|no_prev
V010,288,reuse,18,17,286,0,287,1,0.81937164,-3.00000000,-0.10000000,3.00166620,0.81937164,0.78054903,,,1.03178194,
V010,298,switch,3,3,288,182,,,,,,,,0.53797790,,,,no_last_seen|no_prev|no_old
V010,320,switch,4,4,290,181,,,,,,,,0.77261703,,,,no_last_seen|no_prev|no_old
V010,320,switch,9,9,289,174,,,,,,,,0.81466901,,,,no_last_seen|no_prev|no_old
V010,326,switch,6,6,291,176,,,,,,,,0.61872747,,,,no_last_seen|no_prev|no_old
V010,350,switch,7,7,292,170,,,,,,,,0.67080480,,,,no_last_seen|no_prev|no_old
V010,350,switch,10,10,293,179,,,,,,,,0.55084092,,,,no_last_seen|no_prev|no_old
V010,403,switch,15,15,294,238,,,,,,,,0.85172307,,,,no_last_seen|no_prev|no_old
V010,424,switch,19,19,295,279,,,,,,,,0.52288538,,,,no_last_seen|no_prev|no_old
V010,441,switch,20,20,296,275,,,,,,,,0.65145435,,,,no_last_seen|no_prev|no_old
V010,531,switch,1,1,297,276,,,,,,,,0.70156742,,,,no_last_seen|no_prev|no_old
V010,535,switch,6,6,298,291,,,,,,,,0.65833682,,,,no_last_seen|no_prev|no_old
V011,79,switch,10,10,326,320,,,,,,,,0.37797473,,,,no_last_seen|no_prev|no_old
V011,231,switch,14,14,327,317,,,,,,,,0.19795950,,,,no_last_seen|no_prev|no_old
V011,235,switch,17,17,328,301,,,,,,,,0.64020889,,,,no_last_seen|no_prev|no_old
V011,235,switch,18,18,329,310,,,,,,,,0.12279080,,,,no_last_seen|no_prev|no_old
V011,253,switch,1,1,330,313,,,,,,,,0.83759369,,,,no_last_seen|no_prev|no_old
V011,263,switch,3,3,331,312,,,,,,,,0.58483812,,,,no_last_seen|no_prev|no_old
V011,267,switch,4,4,332,314,,,,,,,,0.51320552,,,,no_last_seen|no_prev|no_old
V011,375,switch,11,11,334,306,,,,,,,,0.78617216,,,,no_last_seen|no_prev|no_old
V011,405,switch,14,14,335,327,,,,,,,,0.59276423,,,,no_last_seen|no_prev|no_old
V011,421,switch,4,4,336,332,,,,,,,,0.65039598,,,,no_last_seen|no_prev|no_old
V011,423,switch,5,5,337,316,,,,,,,,0.93279160,,,,no_last_seen|no_prev|no_old
V011,554,switch,14,14,338,335,,,,,,,,0.30071655,,,,no_last_seen|no_prev|no_old
V011,555,switch,17,17,339,328,,,,,,,,0.53859548,,,,no_last_seen|no_prev|no_old
V011,557,switch,20,20,340,305,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V011,559,switch,20,20,341,305,,,,,,,,0.39846527,,,,no_last_seen|no_prev|no_old
V011,562,switch,16,16,347,302,,,,,,,,0.56015580,,,,no_last_seen|no_prev|no_old
V011,566,switch,7,7,355,311,,,,,,,,0.27949821,,,,no_last_seen|no_prev|no_old
V011,572,switch,5,5,366,337,,,,,,,,0.37757787,,,,no_last_seen|no_prev|no_old
V011,578,switch,9,9,340,303,557,21,0.34332340,11.15000000,4.75000000,12.11961221,,0.51113844,,,0.89051860,no_prev|no_old
V011,583,switch,4,4,378,336,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V011,585,switch,0,0,380,300,,,,,,,,0.60017687,,,,no_last_seen|no_prev|no_old
V011,595,switch,4,4,396,336,,,,,,,,0.34615550,,,,no_last_seen|no_prev|no_old
V011,605,switch,19,19,406,304,,,,,,,,0.43793679,,,,no_last_seen|no_prev|no_old
V011,662,switch,3,3,408,331,661,1,0.11996318,12.45000000,-1.25000000,12.51259366,0.11996318,0.13468512,,,1.11152961,no_old
V011,673,switch,18,18,409,329,672,1,0.30342518,12.75000000,-1.40000000,12.82663245,0.30342518,0.32438210,,,0.99439798,no_old
V011,675,switch,6,6,410,307,,,,,,,,0.52312623,,,,no_last_seen|no_prev|no_old
V011,678,switch,14,14,411,338,,,,,,,,0.35845291,,,,no_last_seen|no_prev|no_old
V011,715,switch,21,21,412,407,,,,,,,,0.87213961,,,,no_last_seen|no_prev|no_old
V011,942,switch,3,3,413,408,,,,,,,,0.60259123,,,,no_last_seen|no_prev|no_old
V011,946,switch,4,4,414,396,,,,,,,,0.50485921,,,,no_last_seen|no_prev|no_old
V011,967,switch,15,15,418,315,,,,,,,,0.40596916,,,,no_last_seen|no_prev|no_old
V011,968,switch,8,8,420,319,,,,,,,,0.32494748,,,,no_last_seen|no_prev|no_old
V011,981,switch,13,13,434,309,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V011,983,switch,18,18,428,409,982,1,0.47278701,10.50000000,0.85000000,10.53434858,0.47278701,0.49465701,,,1.00392071,no_old
V011,984,switch,13,13,439,309,,,,,,,,0.37703810,,,,no_last_seen|no_prev|no_old
V011,998,switch,14,14,454,411,,,,,,,,0.47285852,,,,no_last_seen|no_prev|no_old
V011,1013,switch,12,12,455,318,,,,,,,,0.41755248,,,,no_last_seen|no_prev|no_old
V011,1037,switch,13,13,456,439,,,,,,,,0.36641553,,,,no_last_seen|no_prev|no_old
V011,1038,switch,17,17,457,339,,,,,,,,0.36593943,,,,no_last_seen|no_prev|no_old
V011,1053,switch,9,9,458,340,,,,,,,,0.69645135,,,,no_last_seen|no_prev|no_old
V011,1094,switch,9,9,459,458,,,,,,,,0.80451544,,,,no_last_seen|no_prev|no_old
V011,1124,switch,0,0,461,380,,,,,,,,0.68053290,,,,no_last_seen|no_prev|no_old
V011,1133,switch,16,16,462,347,,,,,,,,0.38488400,,,,no_last_seen|no_prev|no_old
V011,1163,switch,3,3,341,413,1162,1,0.85838683,3.20000000,0.70000000,3.27566787,0.85838683,0.89040254,0.38369911,21.40706659,1.05874224,
V011,1163,switch,20,20,413,341,1162,1,0.97940920,-0.40000000,-0.20000000,0.44721360,0.97940920,0.96297635,0.38369911,21.40706659,1.00514139,
V011,1164,reuse,20,3,341,0,1163,1,0.89040254,2.30000000,0.90000000,2.46981781,0.89040254,0.96208481,,,1.04535743,
V011,1164,reuse,3,20,413,0,1163,1,0.96297635,-0.60000000,-0.05000000,0.60207973,0.96297635,0.96761310,,,0.97818550,
V012,9,switch,7,7,478,470,,,,,,,,0.49380228,,,,no_last_seen|no_prev|no_old
V012,15,switch,8,8,486,483,,,,,,,,0.39023811,,,,no_last_seen|no_prev|no_old
V012,106,switch,1,1,500,466,,,,,,,,0.28563813,,,,no_last_seen|no_prev|no_old
V012,116,switch,6,6,501,498,,,,,,,,0.38625746,,,,no_last_seen|no_prev|no_old
V012,131,switch,0,0,502,467,,,,,,,,0.37856743,,,,no_last_seen|no_prev|no_old
V012,256,switch,7,7,510,478,,,,,,,,0.75373104,,,,no_last_seen|no_prev|no_old
V012,302,switch,12,12,511,504,,,,,,,,0.95067982,,,,no_last_seen|no_prev|no_old
V012,306,switch,15,15,512,507,,,,,,,,0.88699945,,,,no_last_seen|no_prev|no_old
V012,355,switch,17,17,513,509,,,,,,,,0.74775556,,,,no_last_seen|no_prev|no_old
V012,365,switch,4,4,514,468,,,,,,,,0.67992126,,,,no_last_seen|no_prev|no_old
V012,422,switch,9,9,516,493,,,,,,,,0.81137631,,,,no_last_seen|no_prev|no_old
V012,451,switch,13,13,517,506,,,,,,,,0.74700533,,,,no_last_seen|no_prev|no_old
V012,460,switch,16,16,518,508,,,,,,,,0.49061080,,,,no_last_seen|no_prev|no_old
V012,463,switch,17,17,519,513,,,,,,,,0.41044985,,,,no_last_seen|no_prev|no_old
V012,511,switch,9,9,520,516,,,,,,,,0.85280885,,,,no_last_seen|no_prev|no_old
V013,94,switch,17,17,538,521,,,,,,,,0.80854321,,,,no_last_seen|no_prev|no_old
V013,263,switch,7,7,543,529,,,,,,,,0.78869717,,,,no_last_seen|no_prev|no_old
V013,279,switch,9,9,545,526,,,,,,,,0.92590361,,,,no_last_seen|no_prev|no_old
V013,280,switch,10,10,544,533,279,1,0.52511906,4.55000000,0.95000000,4.64811790,0.52511906,0.41549387,,,1.06126614,no_old
V013,293,switch,19,19,546,542,,,,,,,,0.71915641,,,,no_last_seen|no_prev|no_old
V013,360,switch,2,2,547,522,,,,,,,,0.24199525,,,,no_last_seen|no_prev|no_old
V013,362,switch,9,9,548,545,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V013,367,switch,7,7,552,543,,,,,,,,0.31198874,,,,no_last_seen|no_prev|no_old
V013,370,switch,8,8,548,531,362,8,0.54108159,-4.05000000,5.80000000,7.07407238,,,,,0.83435781,no_prev|no_next|no_old
V013,375,switch,8,8,567,531,,,,,,,,0.34032714,,,,no_last_seen|no_prev|no_old
V013,377,switch,6,6,571,536,,,,,,,,0.42931298,,,,no_last_seen|no_prev|no_old
V013,381,switch,3,3,578,535,,,,,,,,0.30442999,,,,no_last_seen|no_prev|no_old
V013,382,switch,4,4,560,527,372,10,0.25877477,-7.50000000,-10.40000000,12.82224629,,,,,0.88290548,no_prev|no_next|no_old
V013,385,switch,1,1,560,528,382,3,0.71583226,0.70000000,-4.40000000,4.45533388,,,,,1.35303891,no_prev|no_next|no_old
V013,389,switch,0,0,599,523,,,,,,,,0.35443074,,,,no_last_seen|no_prev|no_old
V013,392,switch,1,1,613,528,,,,,,,,0.41477147,,,,no_last_seen|no_prev|no_old
V013,405,switch,5,5,654,534,,,,,,,,0.49319196,,,,no_last_seen|no_prev|no_old
V013,405,switch,9,9,653,545,,,,,,,,0.42776587,,,,no_last_seen|no_prev|no_old
V013,406,switch,4,4,655,527,,,,,,,,0.46083648,,,,no_last_seen|no_prev|no_old
V013,410,switch,8,8,657,567,,,,,,,,0.64722206,,,,no_last_seen|no_prev|no_old
V013,410,switch,11,11,656,524,,,,,,,,0.62717972,,,,no_last_seen|no_prev|no_old
V013,411,switch,0,0,658,599,,,,,,,,0.60419836,,,,no_last_seen|no_prev|no_old
V013,412,switch,1,1,661,613,,,,,,,,0.62229375,,,,no_last_seen|no_prev|no_old
V013,412,switch,6,6,660,571,,,,,,,,0.55073137,,,,no_last_seen|no_prev|no_old
V013,412,switch,7,7,659,552,,,,,,,,0.66764617,,,,no_last_seen|no_prev|no_old
V013,412,switch,12,12,662,530,,,,,,,,0.34077491,,,,no_last_seen|no_prev|no_old
V013,415,switch,15,15,664,539,,,,,,,,0.43710167,,,,no_last_seen|no_prev|no_old
V013,418,switch,2,2,552,547,410,8,0.00000000,65.95000000,-7.35000000,66.35830769,,0.68748626,,,1.03058857,no_prev|no_old
V013,418,switch,4,4,613,655,410,8,0.00000000,88.10000000,18.75000000,90.07315083,,,,,1.10162005,no_prev|no_next|no_old
V013,419,reuse,7,2,552,0,418,1,0.68748626,-6.40000000,-0.65000000,6.43292313,0.68748626,,,,1.00166113,no_next
V013,420,switch,4,4,668,655,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V013,420,switch,6,6,613,660,418,2,0.23171868,21.10000000,-0.95000000,21.12137543,,,,,0.86137674,no_prev|no_next|no_old
V013,421,switch,2,2,670,552,,,,,,,,0.48180029,,,,no_last_seen|no_prev|no_old
V013,421,switch,4,4,599,655,409,12,0.00000000,143.20000000,-31.80000000,146.68837718,,,0.00000000,42.19540852,0.87643493,no_prev|no_next
V013,421,switch,6,6,655,660,417,4,0.50719654,-6.80000000,-2.40000000,7.21110255,,,,,0.82446334,no_prev|no_next|no_old
V013,422,switch,6,6,668,660,420,2,0.43097739,8.85000000,-1.05000000,8.91207047,,,,,0.73221505,no_prev|no_next|no_old
V013,422,switch,9,9,567,653,408,14,0.00000000,157.00000000,7.15000000,157.16272618,,,,,1.11538513,no_prev|no_next|no_old
V013,423,switch,4,4,673,655,,,,,,,,0.39393466,,,,no_last_seen|no_prev|no_old
V013,423,switch,6,6,599,660,421,2,0.46837656,10.15000000,-3.30000000,10.67297990,,,,,0.77672817,no_prev|no_next|no_old
V013,424,switch,6,6,673,660,423,1,0.39393466,10.80000000,-3.70000000,11.41621654,0.39393466,,,,0.76679215,no_next|no_old
V013,424,switch,13,13,676,525,,,,,,,,0.27935796,,,,no_last_seen|no_prev|no_old
V013,425,switch,6,6,678,660,,,,,,,,0.31077634,,,,no_last_seen|no_prev|no_old
V013,426,switch,4,4,682,655,,,,,,,,0.77890473,,,,no_last_seen|no_prev|no_old
V013,427,switch,6,6,682,678,426,1,0.77890473,-0.15000000,-2.85000000,2.85394464,0.77890473,,,,0.77890473,no_next|no_old
V013,429,switch,6,6,691,678,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V013,430,switch,4,4,694,655,,,,,,,,0.23595601,,,,no_last_seen|no_prev|no_old
V013,430,switch,20,20,695,541,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V013,432,switch,16,16,530,540,410,22,0.00000000,198.50000000,33.75000000,201.34873354,,0.69791796,,,1.82577282,no_prev|no_old
V013,432,switch,20,20,698,541,,,,,,,,0.38695514,,,,no_last_seen|no_prev|no_old
V013,433,switch,6,6,705,678,,,,,,,,0.42741811,,,,no_last_seen|no_prev|no_old
V013,433,switch,9,9,703,653,,,,,,,,0.33763359,,,,no_last_seen|no_prev|no_old
V013,433,reuse,12,16,530,0,432,1,0.69791796,-8.30000000,-0.60000000,8.32165849,0.69791796,,,,1.04341065,no_next
V013,435,switch,16,16,707,530,,,,,,,,0.46083571,,,,no_last_seen|no_prev|no_old
V013,443,switch,17,17,663,538,442,1,0.12860818,-10.85000000,1.15000000,10.91077449,0.12860818,,,,1.24497784,no_next|no_old
V013,443,switch,18,18,719,537,442,1,0.00000000,-17.75000000,0.45000000,17.75570331,0.00000000,0.00000000,,,1.03177316,no_old
V013,446,switch,14,14,726,532,,,,,,,,,,,,no_last_seen|no_prev|no_next|no_old
V013,447,switch,17,17,728,538,,,,,,,,0.36260685,,,,no_last_seen|no_prev|no_old
V013,448,switch,14,14,729,532,,,,,,,,0.35201818,,,,no_last_seen|no_prev|no_old
