dataset,class,union,motion_signal,tpr_1,fpr_1,thr_1,tpr_2,fpr_2,thr_2
MOT17,overall,u2,vobs,19.7802%,1.2210%,margin<=0.25 dcb>=-0.5302,21.4286%,2.4669%,margin<=0.3 dcb>=-0.5999
MOT20,S_c,u12,vobs,45.9459%,0.9124%,margin<=0.25 vobs>=0.06009,49.8069%,1.9252%,margin<=0.3 vobs>=0.04775
MOT20,S_c,u1234,vobs,45.9459%,0.9421%,margin<=0.25 vobs=off oc=off dcb>=-0.478,50.9653%,1.9010%,margin<=0.3 vobs=off oc>=0.9532 dcb=off
MOT20,S_c,u1234a,vobs,60.6178%,0.9620%,margin<=0.1 vobs>=0.06009 oc=off dca>=-0.2088,60.6178%,1.8981%,margin<=0.1 vobs>=0.06009 oc=off dca>=-0.4081
MOT20,S_c,u2,vobs,45.9459%,1.2858%,margin<=0.25 dcb>=-0.5648,49.8069%,2.3627%,margin<=0.3 dcb>=-0.6446
MOT20,S_r,u12,vobs,29.1622%,0.9124%,margin<=0.25 vobs>=0.06009,39.7667%,1.9252%,margin<=0.3 vobs>=0.04775
MOT20,S_r,u1234,vobs,37.6458%,0.9347%,margin<=0.2 vobs>=0.06009 oc=off dcb>=-0.478,45.7052%,1.9792%,margin<=0.2 vobs>=0.04775 oc>=0.9532 dcb>=-0.5648
MOT20,S_r,u1234a,vobs,29.1622%,0.9909%,margin<=0.15 vobs>=0.06009 oc=off dca>=-0.2088,42.8420%,1.9599%,margin<=0.2 vobs>=0.06009 oc=off dca>=-0.4081
MOT20,S_r,u2,vobs,37.9639%,1.2858%,margin<=0.25 dcb>=-0.5648,44.9629%,2.3627%,margin<=0.3 dcb>=-0.6446
MOT20,S_h,u12,vobs,41.9598%,0.9124%,margin<=0.25 vobs>=0.06009,50.2513%,1.9252%,margin<=0.3 vobs>=0.04775
MOT20,S_h,u1234,vobs,42.4623%,0.9421%,margin<=0.25 vobs=off oc=off dcb>=-0.478,51.7588%,1.9010%,margin<=0.3 vobs=off oc>=0.9532 dcb=off
MOT20,S_h,u1234a,vobs,54.7739%,0.8807%,margin<=0.2 vobs=off oc=off dca>=-0.2088,59.7990%,1.9808%,margin<=0.3 vobs>=0.06009 oc=off dca>=-0.2088
MOT20,S_h,u2,vobs,42.7136%,1.2858%,margin<=0.25 dcb>=-0.5648,50.7538%,2.3627%,margin<=0.3 dcb>=-0.6446
MOT20,overall,u12,vobs,35.0625%,0.9124%,margin<=0.25 vobs>=0.06009,44.0000%,1.9252%,margin<=0.3 vobs>=0.04775
MOT20,overall,u1234,vobs,38.2500%,0.9421%,margin<=0.25 vobs=off oc=off dcb>=-0.478,47.0625%,1.9429%,margin<=0.3 vobs>=0.06009 oc=off dcb>=-0.5648
MOT20,overall,u1234a,vobs,40.3125%,0.9909%,margin<=0.15 vobs>=0.06009 oc=off dca>=-0.2088,49.2500%,1.9599%,margin<=0.2 vobs>=0.06009 oc=off dca>=-0.4081
MOT20,overall,u2,vobs,40.4375%,1.2858%,margin<=0.25 dcb>=-0.5648,47.1875%,2.3627%,margin<=0.3 dcb>=-0.6446
SportsMOT,S_c,u12,vobs,2.6279%,0.9208%,margin<=0.25 vobs>=0.1763,2.8354%,1.7958%,margin<=0.3 vobs>=0.1275
SportsMOT,S_c,u1234,vobs,2.6279%,0.9514%,margin<=0.25 vobs>=0.2124 oc=off dcb>=-0.4431,2.9046%,1.9396%,margin<=0.25 vobs>=0.1763 oc>=0.8442 dcb>=-0.5541
SportsMOT,S_c,u1234a,vobs,2.9737%,0.9844%,margin<=0.1 vobs>=0.1545 oc=off dca>=-0.4248,2.9737%,1.9422%,margin<=0.1 vobs>=0.2124 oc>=0.8985 dca>=-0.5863
SportsMOT,S_c,u2,vobs,2.7663%,1.1554%,margin<=0.25 dcb>=-0.5541,2.8354%,2.1207%,margin<=0.3 dcb>=-0.6813
SportsMOT,S_r,u12,vobs,29.4366%,0.9208%,margin<=0.25 vobs>=0.1763,38.5915%,1.7958%,margin<=0.3 vobs>=0.1275
SportsMOT,S_r,u1234,vobs,36.1972%,0.9862%,margin<=0.1 vobs=off oc=off dcb>=-0.5541,43.2394%,1.9884%,margin<=0.2 vobs>=0.2466 oc=off dcb>=-0.6813
SportsMOT,S_r,u1234a,vobs,36.0563%,0.9400%,margin<=0.2 vobs>=0.2124 oc=off dca>=-0.4248,44.3662%,1.9778%,margin<=0.3 vobs>=0.2466 oc=off dca>=-0.5863
SportsMOT,S_r,u2,vobs,39.2958%,1.1554%,margin<=0.25 dcb>=-0.5541,45.2113%,2.1207%,margin<=0.3 dcb>=-0.6813
SportsMOT,S_h,u12,vobs,9.4891%,0.9208%,margin<=0.25 vobs>=0.1763,12.1655%,1.7958%,margin<=0.3 vobs>=0.1275
SportsMOT,S_h,u1234,vobs,9.9757%,0.9514%,margin<=0.25 vobs>=0.2124 oc=off dcb>=-0.4431,13.6253%,1.9364%,margin<=0.3 vobs>=0.1763 oc>=0.8985 dcb>=-0.5541
SportsMOT,S_h,u1234a,vobs,12.1655%,0.9753%,margin<=0.25 vobs>=0.2124 oc=off dca>=-0.2485,16.5450%,1.9778%,margin<=0.3 vobs>=0.2466 oc=off dca>=-0.5863
SportsMOT,S_h,u2,vobs,10.4623%,1.1554%,margin<=0.25 dcb>=-0.5541,13.3820%,2.1207%,margin<=0.3 dcb>=-0.6813
SportsMOT,overall,u12,vobs,11.1414%,0.9208%,margin<=0.25 vobs>=0.1763,14.2189%,1.7958%,margin<=0.3 vobs>=0.1275
SportsMOT,overall,u1234,vobs,12.8165%,0.9514%,margin<=0.25 vobs>=0.2124 oc=off dcb>=-0.4431,15.5434%,1.9422%,margin<=0.3 vobs>=0.1275 oc=off dcb>=-0.5541
SportsMOT,overall,u1234a,vobs,13.5567%,0.9400%,margin<=0.2 vobs>=0.2124 oc=off dca>=-0.4248,16.5952%,1.9778%,margin<=0.3 vobs>=0.2466 oc=off dca>=-0.5863
SportsMOT,overall,u2,vobs,14.1021%,1.1554%,margin<=0.25 dcb>=-0.5541,16.2446%,2.1207%,margin<=0.3 dcb>=-0.6813
combined,S_c,u12,vobs,9.4092%,0.9521%,margin<=0.25 vobs>=0.1265,10.2845%,1.8309%,margin<=0.3 vobs>=0.1062
combined,S_c,u1234,vobs,9.4092%,0.9587%,margin<=0.25 vobs>=0.1997 oc=off dcb>=-0.4591,10.2845%,1.9155%,margin<=0.3 vobs>=0.1265 oc=off dcb>=-0.5584
combined,S_c,u1234a,vobs,11.9256%,0.9596%,margin<=0.1 vobs>=0.1265 oc=off dca>=-0.2734,11.9256%,1.9945%,margin=off vobs>=0.1062 oc=off dca>=-0.4699
combined,S_c,u2,vobs,9.5186%,1.2320%,margin<=0.25 dcb>=-0.5584,10.2845%,2.2885%,margin<=0.3 dcb>=-0.6462
combined,S_r,u12,vobs,27.1195%,0.9521%,margin<=0.25 vobs>=0.1265,35.9136%,1.8309%,margin<=0.3 vobs>=0.1062
combined,S_r,u1234,vobs,33.4913%,0.9587%,margin<=0.25 vobs>=0.1997 oc=off dcb>=-0.4591,40.6003%,1.9790%,margin<=0.25 vobs>=0.1265 oc>=0.9447 dcb>=-0.5584
combined,S_r,u1234a,vobs,30.6477%,0.9923%,margin<=0.2 vobs>=0.1634 oc=off dca>=-0.2734,39.5998%,1.9941%,margin<=0.25 vobs>=0.1634 oc=off dca>=-0.4699
combined,S_r,u2,vobs,36.2296%,1.2320%,margin<=0.25 dcb>=-0.5584,42.0748%,2.2885%,margin<=0.3 dcb>=-0.6462
combined,S_h,u12,vobs,23.9351%,0.9521%,margin<=0.25 vobs>=0.1265,28.7018%,1.8309%,margin<=0.3 vobs>=0.1062
combined,S_h,u1234,vobs,24.6450%,0.9587%,margin<=0.25 vobs>=0.1997 oc=off dcb>=-0.4591,29.4118%,1.9155%,margin<=0.3 vobs>=0.1265 oc=off dcb>=-0.5584
combined,S_h,u1234a,vobs,31.1359%,0.9923%,margin<=0.2 vobs>=0.1634 oc=off dca>=-0.2734,34.8884%,1.9399%,margin<=0.3 vobs>=0.1634 oc=off dca>=-0.2734
combined,S_h,u2,vobs,25.2535%,1.2320%,margin<=0.25 dcb>=-0.5584,29.6146%,2.2885%,margin<=0.3 dcb>=-0.6462
combined,overall,u12,vobs,19.5841%,0.9521%,margin<=0.25 vobs>=0.1265,24.4642%,1.8309%,margin<=0.3 vobs>=0.1062
combined,overall,u1234,vobs,22.3000%,0.9587%,margin<=0.25 vobs>=0.1997 oc=off dcb>=-0.4591,26.4375%,1.9155%,margin<=0.3 vobs>=0.1265 oc=off dcb>=-0.5584
combined,overall,u1234a,vobs,23.4882%,0.9923%,margin<=0.2 vobs>=0.1634 oc=off dca>=-0.2734,27.7955%,1.9941%,margin<=0.25 vobs>=0.1634 oc=off dca>=-0.4699
combined,overall,u2,vobs,23.5731%,1.2320%,margin<=0.25 dcb>=-0.5584,27.1377%,2.2885%,margin<=0.3 dcb>=-0.6462
