dataset,seq,frame,class,track_id,gt_id_new,old_hid,no_box,top1,top2,margin,cos_theta,v_obs_norm,occlusion,swap_A,swap_B
MOT17,V001,458,S_r,46,41,22,0,0.948269,0.112351,0.835918,0.954366,0.027722,0.275362,-1.666081,-1.666081
MOT17,V001,461,S_r,35,9,32,0,0.918256,0.569165,0.349091,0.958386,0.013028,1.000000,-0.353154,-0.743861
MOT17,V001,461,S_h,40,48,12,0,0.173954,0.078896,0.095058,,,1.000000,0.527238,-0.898164
MOT17,V001,461,S_r,34,56,40,0,0.682617,0.270020,0.412597,-0.510128,0.039156,1.000000,-0.980537,-0.980537
MOT17,V001,462,S_h,22,42,26,0,0.457149,0.228382,0.228767,,,0.628571,0.573800,-1.137498
MOT17,V001,462,S_h,10,49,34,0,0.417254,0.034931,0.382323,,,1.000000,-0.872311,-0.872311
MOT17,V001,473,S_r,46,42,22,0,0.837862,0.418438,0.419424,0.814867,0.014351,0.599043,-0.885543,-0.885543
MOT17,V001,473,S_r,22,67,46,0,0.894540,0.428422,0.466118,0.680072,0.021092,0.565453,-0.885543,-0.885543
MOT17,V001,475,S_r,37,32,30,0,0.986045,0.360599,0.625446,0.748416,0.001893,0.436318,-1.231774,-1.231774
MOT17,V001,475,S_r,30,33,37,0,0.974863,0.368534,0.606328,0.990830,0.031635,0.694737,-1.231774,-1.231774
MOT17,V001,479,S_r,52,41,46,0,0.967530,0.289827,0.677703,0.903036,0.021723,0.501587,-1.312755,-1.312755
MOT17,V001,485,S_r,46,17,52,0,0.912152,0.120599,0.791552,-0.925020,0.012759,0.202951,-1.567755,-1.567755
MOT17,V001,486,S_h,12,56,40,0,0.535940,0.000000,0.535940,,,0.930000,0.452150,-1.457639
MOT17,V001,488,S_c,57,42,46,0,0.265363,0.254429,0.010935,,,0.421222,0.901815,-0.988109
MOT17,V001,496,S_c,58,31,43,0,0.637983,0.509971,0.128012,,,0.889571,0.350167,-0.602358
MOT17,V001,498,S_r,33,41,52,0,0.897061,0.464789,0.432272,-0.288201,0.012562,0.961856,-0.863485,-0.863485
MOT17,V001,498,S_r,52,78,33,0,0.912415,0.475392,0.437023,0.834672,0.015301,0.757669,-0.919691,-0.919691
MOT17,V001,508,S_r,33,42,57,0,0.876300,0.620296,0.256004,-0.109431,0.012241,0.978852,-0.162756,-0.333674
MOT17,V001,508,S_r,57,78,52,0,0.959435,0.333949,0.625486,0.930298,0.017784,0.948795,-1.031518,-1.031518
MOT17,V001,514,S_r,47,18,24,0,0.491380,0.282206,0.209174,-0.997997,0.029600,1.000000,-0.403952,-0.403952
MOT17,V001,514,S_h,52,42,33,0,0.434153,0.200843,0.233310,,,1.000000,0.194100,-0.187595
MOT17,V001,516,S_r,33,9,35,0,0.850550,0.677604,0.172946,-0.552307,0.029922,0.917306,-0.417766,-0.417766
MOT17,V001,516,S_r,35,41,33,0,0.859776,0.390769,0.469007,0.986161,0.022516,0.707071,-0.985436,-0.985436
MOT17,V001,519,S_r,24,18,47,0,0.867596,0.100330,0.767265,0.972806,0.032150,1.000000,-1.653361,-1.653361
MOT17,V001,523,S_r,52,10,54,0,0.892949,0.377914,0.515035,0.484639,0.024776,1.000000,-1.071099,-1.071099
MOT17,V001,523,S_r,22,17,46,0,0.958244,0.314580,0.643664,0.940425,0.008911,1.000000,-1.140383,-1.140383
MOT17,V001,524,S_r,54,42,52,0,0.448245,0.351661,0.096585,-0.933993,0.106538,0.912360,0.445454,-0.697235
MOT17,V001,530,S_r,54,9,33,0,0.919031,0.496978,0.422053,0.035178,0.013509,1.000000,-0.765635,-0.765635
MOT17,V001,530,S_r,33,42,54,0,0.869766,0.526183,0.343582,-0.962462,0.006271,1.000000,-0.765635,-0.765635
MOT17,V001,554,S_r,22,15,47,0,0.906015,0.125714,0.780301,-0.775693,0.014114,1.000000,-1.615596,-1.615596
MOT17,V001,570,S_c,67,18,24,0,0.000000,0.000000,0.000000,,,0.000000,0.867703,-0.904359
MOT17,V001,580,S_r,21,31,58,0,0.970451,0.687111,0.283340,0.977570,0.023395,0.815144,-0.521110,-0.521110
MOT17,V001,596,S_h,57,15,22,0,0.264855,0.087280,0.177575,,,0.511429,0.785957,-1.155104
MOT17,V002,317,S_r,98,17,100,0,0.871247,0.031835,0.839412,-0.274721,0.020452,1.000000,-1.797965,-1.797965
MOT17,V002,318,S_c,105,76,98,0,0.428965,0.029926,0.399039,,,1.000000,0.514514,-1.359967
MOT17,V002,348,S_c,111,38,79,0,0.222037,0.220038,0.002000,,,1.000000,0.565275,-0.568718
MOT17,V002,353,S_c,113,56,107,0,0.348674,0.097803,0.250871,,,0.599034,0.698114,-1.220265
MOT17,V002,358,S_r,96,28,87,0,0.862943,0.615875,0.247068,0.847875,0.062947,1.000000,-0.597638,-0.597638
MOT17,V002,364,S_r,82,31,96,0,0.873185,0.213704,0.659481,0.971760,0.034429,0.782609,-0.430681,-1.299589
MOT17,V002,366,S_c,116,29,82,0,0.472420,0.326971,0.145449,,,0.842857,0.635212,-0.985100
MOT17,V002,389,S_r,97,18,95,0,0.582556,0.037980,0.544577,0.237337,0.082968,1.000000,-1.495960,-1.495960
MOT17,V002,391,S_r,99,42,101,0,0.871814,0.149539,0.722275,0.936886,0.046586,1.000000,-1.519532,-1.519532
MOT17,V002,394,S_r,108,9,106,0,0.769612,0.178172,0.591439,-0.880924,0.031547,1.000000,-1.369020,-1.369020
MOT17,V002,395,S_r,113,48,107,0,0.827400,0.277823,0.549577,0.023803,0.029878,0.370370,-1.177270,-1.177270
MOT17,V002,395,S_c,119,67,97,0,0.130711,0.035601,0.095109,,,1.000000,0.781793,-1.038404
MOT17,V002,400,S_h,106,17,98,0,0.680160,0.238529,0.441631,,,1.000000,0.352941,-1.141637
MOT17,V002,404,S_h,82,26,76,0,0.874750,0.290801,0.583949,,,1.000000,-1.065357,-1.065357
MOT17,V002,405,S_h,98,10,108,0,0.625808,0.232893,0.392914,,,1.000000,0.271467,-0.965453
MOT17,V002,405,S_c,120,15,99,0,0.295266,0.091912,0.203354,,,0.619247,0.683661,-1.144507
MOT17,V002,408,S_h,95,41,90,0,0.831695,0.071887,0.759808,,,0.450382,-0.693301,-1.699889
MOT17,V002,423,S_r,88,61,85,0,0.867416,0.026312,0.841104,0.987861,0.015694,1.000000,-1.780700,-1.780700
MOT17,V002,427,S_h,96,31,82,0,0.505882,0.295719,0.210163,,,1.000000,0.567542,-0.980101
MOT17,V002,429,S_r,106,9,108,0,0.886156,0.629636,0.256520,-0.993035,0.012882,1.000000,-0.445803,-0.445803
MOT17,V002,442,S_r,116,31,96,0,0.825624,0.529469,0.296155,0.535205,0.032773,0.878641,-0.657075,-0.657075
MOT17,V002,443,S_c,123,60,88,0,0.325820,0.016313,0.309507,,,1.000000,0.605796,-1.252213
MOT17,V002,448,S_c,125,17,106,0,0.046027,0.007434,0.038593,,,1.000000,0.706897,-0.929983
MOT17,V002,448,S_h,106,76,105,0,0.040880,0.009176,0.031704,,,1.000000,0.527438,-0.707719
MOT17,V002,451,S_r,85,48,113,0,0.873781,0.713869,0.159912,,0.029900,1.000000,-0.221929,-0.221929
MOT17,V002,452,S_c,127,10,98,0,0.174251,0.159173,0.015077,,,1.000000,0.817258,-0.978024
MOT17,V002,452,S_r,103,33,110,0,0.630591,0.154444,0.476147,-0.793895,0.031896,1.000000,-1.273231,-1.273231
MOT17,V002,454,S_h,105,9,106,0,0.458384,0.093030,0.365354,,,1.000000,0.313580,-1.095607
MOT17,V002,455,S_h,110,33,110,0,0.315799,0.063733,0.252065,,,1.000000,0.502096,-1.125297
MOT17,V002,457,S_r,127,9,105,0,0.413769,0.278615,0.135154,0.073463,0.115746,1.000000,-0.716880,-0.716880
MOT17,V002,457,S_c,128,40,84,0,0.037414,0.020605,0.016809,,,1.000000,0.878372,-0.881222
MOT17,V002,458,S_h,105,9,105,0,0.595246,0.343772,0.251474,,,1.000000,0.315228,-0.361992
MOT17,V002,458,S_r,119,41,95,0,0.948269,0.112351,0.835918,0.954366,0.027722,0.275362,-1.666081,-1.666081
MOT17,V002,461,S_r,108,9,105,0,0.918256,0.569165,0.349091,0.958386,0.013028,1.000000,-0.353154,-0.743861
MOT17,V002,461,S_h,113,48,85,0,0.173954,0.078896,0.095058,,,1.000000,0.527238,-0.898164
MOT17,V002,461,S_r,107,56,113,0,0.682617,0.270020,0.412597,-0.510128,0.039156,1.000000,-0.980537,-0.980537
MOT17,V002,462,S_h,95,42,99,0,0.457149,0.228382,0.228767,,,0.628571,0.573800,-1.137498
MOT17,V002,462,S_h,83,49,107,0,0.417254,0.034931,0.382323,,,1.000000,-0.872311,-0.872311
MOT17,V002,473,S_r,119,42,95,0,0.837862,0.418438,0.419424,0.814867,0.014351,0.599043,-0.885543,-0.885543
MOT17,V002,473,S_r,95,67,119,0,0.894540,0.428422,0.466118,0.680072,0.021092,0.565453,-0.885543,-0.885543
MOT17,V002,475,S_r,110,32,103,0,0.986045,0.360599,0.625446,0.748416,0.001893,0.436318,-1.231774,-1.231774
MOT17,V002,475,S_r,103,33,110,0,0.974863,0.368534,0.606328,0.990830,0.031635,0.694737,-1.231774,-1.231774
MOT17,V002,479,S_r,125,41,119,0,0.967530,0.289827,0.677703,0.903036,0.021723,0.501587,-1.312755,-1.312755
MOT17,V002,485,S_r,119,17,125,0,0.912152,0.120599,0.791552,-0.925020,0.012759,0.202951,-1.567755,-1.567755
MOT17,V002,486,S_h,85,56,113,0,0.535940,0.000000,0.535940,,,0.930000,0.452150,-1.457639
MOT17,V002,488,S_c,130,42,119,0,0.265363,0.254429,0.010935,,,0.421222,0.901815,-0.988109
MOT17,V002,496,S_c,131,31,116,0,0.637983,0.509971,0.128012,,,0.889571,0.350167,-0.602358
MOT17,V002,498,S_r,106,41,125,0,0.897061,0.464789,0.432272,-0.288201,0.012562,0.961856,-0.863485,-0.863485
MOT17,V002,498,S_r,125,78,106,0,0.912415,0.475392,0.437023,0.834672,0.015301,0.757669,-0.919691,-0.919691
MOT17,V002,508,S_r,106,42,130,0,0.876300,0.620296,0.256004,-0.109431,0.012241,0.978852,-0.162756,-0.333674
MOT17,V002,508,S_r,130,78,125,0,0.959435,0.333949,0.625486,0.930298,0.017784,0.948795,-1.031518,-1.031518
MOT17,V002,514,S_r,120,18,97,0,0.491380,0.282206,0.209174,-0.997997,0.029600,1.000000,-0.403952,-0.403952
MOT17,V002,514,S_h,125,42,106,0,0.434153,0.200843,0.233310,,,1.000000,0.194100,-0.187595
MOT17,V002,516,S_r,106,9,108,0,0.850550,0.677604,0.172946,-0.552307,0.029922,0.917306,-0.417766,-0.417766
MOT17,V002,516,S_r,108,41,106,0,0.859776,0.390769,0.469007,0.986161,0.022516,0.707071,-0.985436,-0.985436
MOT17,V002,519,S_r,97,18,120,0,0.867596,0.100330,0.767265,0.972806,0.032150,1.000000,-1.653361,-1.653361
MOT17,V002,523,S_r,125,10,127,0,0.892949,0.377914,0.515035,0.484639,0.024776,1.000000,-1.071099,-1.071099
MOT17,V002,523,S_r,95,17,119,0,0.958244,0.314580,0.643664,0.940425,0.008911,1.000000,-1.140383,-1.140383
MOT17,V002,524,S_r,127,42,125,0,0.448245,0.351661,0.096585,-0.933993,0.106538,0.912360,0.445454,-0.697235
MOT17,V002,530,S_r,127,9,106,0,0.919031,0.496978,0.422053,0.035178,0.013509,1.000000,-0.765635,-0.765635
MOT17,V002,530,S_r,106,42,127,0,0.869766,0.526183,0.343582,-0.962462,0.006271,1.000000,-0.765635,-0.765635
MOT17,V002,554,S_r,95,15,120,0,0.906015,0.125714,0.780301,-0.775693,0.014114,1.000000,-1.615596,-1.615596
MOT17,V002,570,S_c,140,18,97,0,0.000000,0.000000,0.000000,,,0.000000,0.867703,-0.904359
MOT17,V002,580,S_r,94,31,131,0,0.970451,0.687111,0.283340,0.977570,0.023395,0.815144,-0.521110,-0.521110
MOT17,V002,596,S_h,130,15,95,0,0.264855,0.087280,0.177575,,,0.511429,0.785957,-1.155104
MOT17,V003,317,S_r,171,17,173,0,0.871247,0.031835,0.839412,-0.274721,0.020452,1.000000,-1.797965,-1.797965
MOT17,V003,318,S_c,178,76,171,0,0.428965,0.029926,0.399039,,,1.000000,0.514514,-1.359967
MOT17,V003,348,S_c,184,38,152,0,0.222037,0.220038,0.002000,,,1.000000,0.565275,-0.568718
MOT17,V003,353,S_c,186,56,180,0,0.348674,0.097803,0.250871,,,0.599034,0.698114,-1.220265
MOT17,V003,358,S_r,169,28,160,0,0.862943,0.615875,0.247068,0.847875,0.062947,1.000000,-0.597638,-0.597638
MOT17,V003,364,S_r,155,31,169,0,0.873185,0.213704,0.659481,0.971760,0.034429,0.782609,-0.430681,-1.299589
MOT17,V003,366,S_c,189,29,155,0,0.472420,0.326971,0.145449,,,0.842857,0.635212,-0.985100
MOT17,V003,389,S_r,170,18,168,0,0.582556,0.037980,0.544577,0.237337,0.082968,1.000000,-1.495960,-1.495960
MOT17,V003,391,S_r,172,42,174,0,0.871814,0.149539,0.722275,0.936886,0.046586,1.000000,-1.519532,-1.519532
MOT17,V003,394,S_r,181,9,179,0,0.769612,0.178172,0.591439,-0.880924,0.031547,1.000000,-1.369020,-1.369020
MOT17,V003,395,S_r,186,48,180,0,0.827400,0.277823,0.549577,0.023803,0.029878,0.370370,-1.177270,-1.177270
MOT17,V003,395,S_c,192,67,170,0,0.130711,0.035601,0.095109,,,1.000000,0.781793,-1.038404
MOT17,V003,400,S_h,179,17,171,0,0.680160,0.238529,0.441631,,,1.000000,0.352941,-1.141637
MOT17,V003,404,S_h,155,26,149,0,0.874750,0.290801,0.583949,,,1.000000,-1.065357,-1.065357
MOT17,V003,405,S_h,171,10,181,0,0.625808,0.232893,0.392914,,,1.000000,0.271467,-0.965453
MOT17,V003,405,S_c,193,15,172,0,0.295266,0.091912,0.203354,,,0.619247,0.683661,-1.144507
MOT17,V003,408,S_h,168,41,163,0,0.831695,0.071887,0.759808,,,0.450382,-0.693301,-1.699889
MOT17,V003,423,S_r,161,61,158,0,0.867416,0.026312,0.841104,0.987861,0.015694,1.000000,-1.780700,-1.780700
MOT17,V003,427,S_h,169,31,155,0,0.505882,0.295719,0.210163,,,1.000000,0.567542,-0.980101
MOT17,V003,429,S_r,179,9,181,0,0.886156,0.629636,0.256520,-0.993035,0.012882,1.000000,-0.445803,-0.445803
MOT17,V003,442,S_r,189,31,169,0,0.825624,0.529469,0.296155,0.535205,0.032773,0.878641,-0.657075,-0.657075
MOT17,V003,443,S_c,196,60,161,0,0.325820,0.016313,0.309507,,,1.000000,0.605796,-1.252213
MOT17,V003,448,S_c,198,17,179,0,0.046027,0.007434,0.038593,,,1.000000,0.706897,-0.929983
MOT17,V003,448,S_h,179,76,178,0,0.040880,0.009176,0.031704,,,1.000000,0.527438,-0.707719
MOT17,V003,451,S_r,158,48,186,0,0.873781,0.713869,0.159912,,0.029900,1.000000,-0.221929,-0.221929
MOT17,V003,452,S_c,200,10,171,0,0.174251,0.159173,0.015077,,,1.000000,0.817258,-0.978024
MOT17,V003,452,S_r,176,33,183,0,0.630591,0.154444,0.476147,-0.793895,0.031896,1.000000,-1.273231,-1.273231
MOT17,V003,454,S_h,178,9,179,0,0.458384,0.093030,0.365354,,,1.000000,0.313580,-1.095607
MOT17,V003,455,S_h,183,33,183,0,0.315799,0.063733,0.252065,,,1.000000,0.502096,-1.125297
MOT17,V003,457,S_r,200,9,178,0,0.413769,0.278615,0.135154,0.073463,0.115746,1.000000,-0.716880,-0.716880
MOT17,V003,457,S_c,201,40,157,0,0.037414,0.020605,0.016809,,,1.000000,0.878372,-0.881222
MOT17,V003,458,S_h,178,9,178,0,0.595246,0.343772,0.251474,,,1.000000,0.315228,-0.361992
MOT17,V003,458,S_r,192,41,168,0,0.948269,0.112351,0.835918,0.954366,0.027722,0.275362,-1.666081,-1.666081
MOT17,V003,461,S_r,181,9,178,0,0.918256,0.569165,0.349091,0.958386,0.013028,1.000000,-0.353154,-0.743861
MOT17,V003,461,S_h,186,48,158,0,0.173954,0.078896,0.095058,,,1.000000,0.527238,-0.898164
MOT17,V003,461,S_r,180,56,186,0,0.682617,0.270020,0.412597,-0.510128,0.039156,1.000000,-0.980537,-0.980537
MOT17,V003,462,S_h,168,42,172,0,0.457149,0.228382,0.228767,,,0.628571,0.573800,-1.137498
MOT17,V003,462,S_h,156,49,180,0,0.417254,0.034931,0.382323,,,1.000000,-0.872311,-0.872311
MOT17,V003,473,S_r,192,42,168,0,0.837862,0.418438,0.419424,0.814867,0.014351,0.599043,-0.885543,-0.885543
MOT17,V003,473,S_r,168,67,192,0,0.894540,0.428422,0.466118,0.680072,0.021092,0.565453,-0.885543,-0.885543
MOT17,V003,475,S_r,183,32,176,0,0.986045,0.360599,0.625446,0.748416,0.001893,0.436318,-1.231774,-1.231774
MOT17,V003,475,S_r,176,33,183,0,0.974863,0.368534,0.606328,0.990830,0.031635,0.694737,-1.231774,-1.231774
MOT17,V003,479,S_r,198,41,192,0,0.967530,0.289827,0.677703,0.903036,0.021723,0.501587,-1.312755,-1.312755
MOT17,V003,485,S_r,192,17,198,0,0.912152,0.120599,0.791552,-0.925020,0.012759,0.202951,-1.567755,-1.567755
MOT17,V003,486,S_h,158,56,186,0,0.535940,0.000000,0.535940,,,0.930000,0.452150,-1.457639
MOT17,V003,488,S_c,203,42,192,0,0.265363,0.254429,0.010935,,,0.421222,0.901815,-0.988109
MOT17,V003,496,S_c,204,31,189,0,0.637983,0.509971,0.128012,,,0.889571,0.350167,-0.602358
MOT17,V003,498,S_r,179,41,198,0,0.897061,0.464789,0.432272,-0.288201,0.012562,0.961856,-0.863485,-0.863485
MOT17,V003,498,S_r,198,78,179,0,0.912415,0.475392,0.437023,0.834672,0.015301,0.757669,-0.919691,-0.919691
MOT17,V003,508,S_r,179,42,203,0,0.876300,0.620296,0.256004,-0.109431,0.012241,0.978852,-0.162756,-0.333674
MOT17,V003,508,S_r,203,78,198,0,0.959435,0.333949,0.625486,0.930298,0.017784,0.948795,-1.031518,-1.031518
MOT17,V003,514,S_r,193,18,170,0,0.491380,0.282206,0.209174,-0.997997,0.029600,1.000000,-0.403952,-0.403952
MOT17,V003,514,S_h,198,42,179,0,0.434153,0.200843,0.233310,,,1.000000,0.194100,-0.187595
MOT17,V003,516,S_r,179,9,181,0,0.850550,0.677604,0.172946,-0.552307,0.029922,0.917306,-0.417766,-0.417766
MOT17,V003,516,S_r,181,41,179,0,0.859776,0.390769,0.469007,0.986161,0.022516,0.707071,-0.985436,-0.985436
MOT17,V003,519,S_r,170,18,193,0,0.867596,0.100330,0.767265,0.972806,0.032150,1.000000,-1.653361,-1.653361
MOT17,V003,523,S_r,198,10,200,0,0.892949,0.377914,0.515035,0.484639,0.024776,1.000000,-1.071099,-1.071099
MOT17,V003,523,S_r,168,17,192,0,0.958244,0.314580,0.643664,0.940425,0.008911,1.000000,-1.140383,-1.140383
MOT17,V003,524,S_r,200,42,198,0,0.448245,0.351661,0.096585,-0.933993,0.106538,0.912360,0.445454,-0.697235
MOT17,V003,530,S_r,200,9,179,0,0.919031,0.496978,0.422053,0.035178,0.013509,1.000000,-0.765635,-0.765635
MOT17,V003,530,S_r,179,42,200,0,0.869766,0.526183,0.343582,-0.962462,0.006271,1.000000,-0.765635,-0.765635
MOT17,V003,554,S_r,168,15,193,0,0.906015,0.125714,0.780301,-0.775693,0.014114,1.000000,-1.615596,-1.615596
MOT17,V003,570,S_c,213,18,170,0,0.000000,0.000000,0.000000,,,0.000000,0.867703,-0.904359
MOT17,V003,580,S_r,167,31,204,0,0.970451,0.687111,0.283340,0.977570,0.023395,0.815144,-0.521110,-0.521110
MOT17,V003,596,S_h,203,15,168,0,0.264855,0.087280,0.177575,,,0.511429,0.785957,-1.155104
MOT17,V004,624,S_c,269,93,256,0,0.631605,0.172450,0.459155,,,0.892226,0.172493,-1.108366
MOT17,V004,839,S_r,233,93,269,0,0.984008,0.477567,0.506441,,0.001392,0.548020,-1.008804,-1.008804
MOT17,V004,839,S_r,269,96,233,0,0.981398,0.479035,0.502363,,0.000642,0.772991,-1.008804,-1.008804
MOT17,V004,915,S_c,285,141,270,0,0.400977,0.104424,0.296553,,,0.721519,0.663155,-1.230734
MOT17,V004,936,S_r,276,141,285,0,0.974024,0.036942,0.937081,,0.010059,0.065823,-1.858801,-1.858801
MOT17,V004,956,S_h,285,141,276,0,0.573702,0.004604,0.569098,,,0.913078,0.343449,-1.506344
MOT17,V005,624,S_c,339,93,326,0,0.631605,0.172450,0.459155,,,0.892226,0.172493,-1.108366
MOT17,V005,839,S_r,303,93,339,0,0.984008,0.477567,0.506441,,0.001392,0.548020,-1.008804,-1.008804
MOT17,V005,839,S_r,339,96,303,0,0.981398,0.479035,0.502363,,0.000642,0.772991,-1.008804,-1.008804
MOT17,V005,915,S_c,355,141,340,0,0.400977,0.104424,0.296553,,,0.721519,0.663155,-1.230734
MOT17,V005,936,S_r,346,141,355,0,0.974024,0.036942,0.937081,,0.010059,0.065823,-1.858801,-1.858801
MOT17,V005,956,S_h,355,141,346,0,0.573702,0.004604,0.569098,,,0.913078,0.343449,-1.506344
MOT17,V006,624,S_c,409,93,396,0,0.631605,0.172450,0.459155,,,0.892226,0.172493,-1.108366
MOT17,V006,839,S_r,373,93,409,0,0.984008,0.477567,0.506441,,0.001392,0.548020,-1.008804,-1.008804
MOT17,V006,839,S_r,409,96,373,0,0.981398,0.479035,0.502363,,0.000642,0.772991,-1.008804,-1.008804
MOT17,V006,915,S_c,425,141,410,0,0.400977,0.104424,0.296553,,,0.721519,0.663155,-1.230734
MOT17,V006,936,S_r,416,141,425,0,0.974024,0.036942,0.937081,,0.010059,0.065823,-1.858801,-1.858801
MOT17,V006,956,S_h,425,141,416,0,0.573702,0.004604,0.569098,,,0.913078,0.343449,-1.506344
MOT17,V007,420,S_r,434,48,433,0,0.687562,0.554607,0.132955,,0.047627,0.000000,-0.132955,-0.132955
MOT17,V007,422,S_c,435,49,434,0,0.385779,0.000000,0.385779,,,0.619247,0.585144,-1.291576
MOT17,V007,443,S_r,438,124,439,0,0.853433,0.000000,0.853433,0.998888,0.077120,0.000000,-1.805814,-1.805814
MOT17,V007,444,S_h,434,49,435,0,0.000000,0.000000,0.000000,,,0.000000,0.892489,-0.889818
MOT17,V007,445,S_c,442,48,434,0,0.297800,0.000000,0.297800,,,0.434770,0.599986,-1.227053
MOT17,V007,447,S_h,439,124,438,0,0.713209,0.000000,0.713209,,,0.000000,-0.711860,-1.658012
MOT17,V007,463,S_r,434,48,442,0,0.502906,0.484292,0.018614,0.998768,0.143192,0.881279,-0.000371,-0.135984
MOT17,V007,522,S_r,440,54,437,0,0.796621,0.136695,0.659925,0.682884,0.013156,1.000000,-1.432055,-1.432055
MOT17,V007,530,S_h,437,54,437,0,0.396115,0.019821,0.376294,,,1.000000,0.517478,-1.293909
MOT17,V007,558,S_r,440,60,449,0,0.326857,0.312881,0.013976,-0.999616,0.087944,0.855042,0.768023,-0.402306
MOT17,V007,561,S_h,443,52,440,0,0.377906,0.080738,0.297168,,,1.000000,0.530093,-0.952353
MOT17,V007,589,S_h,443,53,441,0,0.627395,0.186205,0.441190,,,1.000000,-0.253647,-1.182638
MOT17,V007,593,S_h,441,54,437,0,0.831434,0.179022,0.652412,,,0.523977,-1.280712,-1.280712
MOT17,V007,602,S_h,437,54,441,0,0.807681,0.130262,0.677419,,,1.000000,-1.543277,-1.543277
MOT17,V007,733,S_h,472,136,471,0,0.558384,0.000000,0.558384,,,0.000000,-1.521343,-1.521343
MOT17,V007,754,S_h,453,83,469,0,0.749158,0.086682,0.662477,,,0.455556,-1.572296,-1.572296
MOT17,V007,755,S_c,479,89,478,0,0.038925,0.000127,0.038798,,,0.262312,0.535038,-0.093376
MOT17,V007,761,S_h,478,84,477,0,0.034129,0.024473,0.009657,,,0.691228,0.822240,-0.985385
